10000 29917
Sommets du graphe
0 0.000008 0.131538 sommet0
1 0.755605 0.458650 sommet1
2 0.532767 0.218959 sommet2
3 0.047045 0.678865 sommet3
4 0.679296 0.934693 sommet4
5 0.383502 0.519416 sommet5
6 0.830965 0.034572 sommet6
7 0.053462 0.529700 sommet7
8 0.671149 0.007698 sommet8
9 0.383416 0.066842 sommet9
10 0.417486 0.686773 sommet10
11 0.588977 0.930436 sommet11
12 0.846167 0.526929 sommet12
13 0.091965 0.653919 sommet13
14 0.415999 0.701191 sommet14
15 0.910321 0.762198 sommet15
16 0.262453 0.047465 sommet16
17 0.736082 0.328234 sommet17
18 0.632639 0.756410 sommet18
19 0.991037 0.365339 sommet19
20 0.247039 0.982550 sommet20
21 0.722660 0.753356 sommet21
22 0.651519 0.072686 sommet22
23 0.631635 0.884707 sommet23
24 0.272710 0.436411 sommet24
25 0.766495 0.477732 sommet25
26 0.237774 0.274907 sommet26
27 0.359265 0.166507 sommet27
28 0.486517 0.897656 sommet28
29 0.909208 0.060564 sommet29
30 0.904653 0.504523 sommet30
31 0.516292 0.319033 sommet31
32 0.986642 0.493977 sommet32
33 0.266145 0.090733 sommet33
34 0.947764 0.073749 sommet34
35 0.500707 0.384142 sommet35
36 0.277082 0.913817 sommet36
37 0.529747 0.464446 sommet37
38 0.940980 0.050084 sommet38
39 0.761514 0.770205 sommet39
40 0.827817 0.125365 sommet40
41 0.015868 0.688455 sommet41
42 0.868247 0.629543 sommet42
43 0.736225 0.725412 sommet43
44 0.999458 0.888572 sommet44
45 0.233195 0.306322 sommet45
46 0.351015 0.513274 sommet46
47 0.591114 0.845982 sommet47
48 0.412081 0.841511 sommet48
49 0.269317 0.415395 sommet49
50 0.537304 0.467917 sommet50
51 0.287212 0.178328 sommet51
52 0.153720 0.571655 sommet52
53 0.802406 0.033054 sommet53
54 0.534450 0.498480 sommet54
55 0.955361 0.748293 sommet55
56 0.554584 0.890737 sommet56
57 0.624849 0.842040 sommet57
58 0.159768 0.212752 sommet58
59 0.714710 0.130427 sommet59
60 0.090990 0.274588 sommet60
61 0.003000 0.414293 sommet61
